A	a
cursus	a race, a running, race course, race track, course. course.
curto	to shorten, abbreviate.
curtus	shortened /mutilated, defective /gelded.
curvo	to bend, arch, curve /influence. to bow.
curvus	arched, bent, bowed, curved, crooked, wrong (morally crooked).
cuspis	point, the pointed end /spear, javelin /cooking spit. spear.
custodia	guardianship. protection, custody.
custodio	to guard. watch over, observe.
custos	guard.
cyclicus	circuitous.
dacigena	Dacian-born.
damnatio	condemnation. condemnation.
damnatiorius	condemnatory
damnatus	condemned
damno	to condemn, damn. to condemn.
damnum	loss, damage, injury /a fine loss, damage.
dapes	fortune, wealth.
dapifer	senescal.
daps	banquet.
de	(prep. + abl.) down from, from, concerning, about.
dealbo	to purify, whitewash.
debello	cnquer, vanquish /end a war. to vanquish, finish a war, fight out.
debeo	to owe, to be morally bound to, to be bound by.
debilito	to weaken, ennervate, sap, exhaust.
debitum	debt.
debrio	to intoxicate.
decens	becoming, graceful.
decenter	becomingly, properly.
decentia	propriety, decency of behavior.
deceptio	deception.
decernere	contend
decernit	contends
decerno	to decide, determine, settle / to decide to do something. to judge, resolve on.
decerpo	to pluck off / to gather, take away.
decertatio	a contest, contention.
decerto	to contend, fight to the finish.
decessio	a retreat, withdrawal / departure, leavin. decrease, diminution.
decessor	someone who retires / a predecessor.
decessus	retirement / withdrawal / departure / death.
decet	fitting. it is seemly, comely, suitable, proper.
decido	(-cisi -cisum) to cut down, cut off / arrange, settle. to fall down / fall dead, die / sink, fall.
decimus	tenth.
decipio	(deceptus) ensnare, trap, beguile, deceive, cheat. to ensnare, deceive.
declamatio	loud or violent speech / declamatio. practice in oratory.
declamo	to declaim, orate / speak loudly.
declaratio	a clarification.
declaro	to explain, explain, reveal. to proclaim (a person as chosen). to prove.
declinatio	a turning aside / declining. avoiding / inflection, declension.
declino	avoid / deviate, swerve/ digress. to turn aside, deflect, turn away. to turn away.
declive	(-is) a slope, decline.
decoctor	a spendthrift, bankrupt, a fool parted from his money.
decollo	(-are) to behead.
decolo	(-are) to trickle away.
decolor	(adj.) pale, without color.
decoloratio	discoloration.
decoquo	(-ere, -coxi, -coctum) to waste / become bankrupt. to boil down, boil away /(metals) melt away.
decor	beauty, grace.
decoro	beautify, embellish, adorn. to grace.
decorum	glorious
decorus	beautiful, graceful, charming, proper, fit, becoming. decorated, elegant.
decrepitus	infirm, decrepit.
decresco	to decrease, grow smaller. to wane.
decretum	decree, judgment, edict, order. ordinance, principle.
decumbo	to fall, fall into, lie down.
decurro	to run down / manoeuver / run in a race / take refuge. to sail downstream. to sing.
decursio	(milit.) a charge, manoeuver.
decursus	a running down /charge, manoeuver, attack; completion of a course downward course.
decurto	to mutilate.
decus	honor, dignity, ornament.
dedecor	unseemly, shameful, disgraceful, dishonorable.
dedecus	disgrace, blemish + gen. shame, dishonor, disgrace, crime, dishonorable act.
dedico	to dedicate.
dedignor	to scorn.
dedo	to surrender, consign.
deduco	to escort, bring away. to lad out colonists, found a colony.
defaeco	to cleanse, purify, purge.
defendo	to defend, ward off, protect, shelter. to support.
defensabiliter	defensibly.
defenso	to defend diligently.
defensor	supporter, defender.
defero	to carry, to bear, to bring. to hand over, carry down, communicate, offer, refer.
defessus	weary, tired.
deficio	(defectum) to fail, to weaken, to be in want. to to be wanting, to run out, fail, withdraw. weaken, to be in want.
defigo	fasten down, secure, fix firmly/ concentrate, fix upon. to fasten.
defleo	to bewail, weep for. to bewail.
defluo	to flow away, disappear, be lost. to flow down, waste, disappear.
defuncta	deceased.
defungo	to discharge one's duties, quit, retire, die, finish.
defungor	to pass away.
degenero	to be unlike one's kind, fall off, degenerate. to cause to degenerate, disgrace by degeneracy.
degero	to pass time, live.
degusto	to taste.
deinde	adv, afterwards. next, then, thereafter, from that place.
delectabilis	delightful.
delectatio	delight, pleasure, enjoyment. delight.
delecto	to attract, delight/ (pass + abl) take delight in. to delight in/ to love.
delego	to transfer, commit, assign, impute, attribute, ascribe.
deleo	(deletum ) to destroy, wipe out, erase. blot out, erase /annihilate, destroy. to obliterate, efface.
delibero	to consider, deliberate. to determine, to be determined, resolve.
delibuo	to anoint.
delicate	luxuriously, delicately, slowly.
deliciae	allurements, charms, delights, fancies / sweetheart.
delictum	transgression.
delinquentes	transgressors.
delinquo	to fail, be wanting/ fail in duty, commit a crime.
delitesco	to hide away.
delubrum	shrine.
deludo	to mock, cheat.
deluo	to cleanse.
demergo	to plunge. to sink, plunge into, dip under, go into debt.
deminuere	abase
deminui	abased
deminutiones	abasements
deminutus	abased
demissus	meek
demitto	set dowwn, let fall (to offer payment to the church). to let down, lower.
demo	to remove. to take away, subtract.
demonstro	to indicate, show, describe, explain. to prove.
demoror	to loiter, linger, tarry, belay.
demulceo	to soften. to stroke down, caress by stroking.
demum	at length at las, finally.
denego	to refuse, deny, reject.
denique	at last, finally, again, in short.
denominata	designated, designate specifically.
densitas	thickness.
denso	to grow thick.
denuncio	declare, give notice, announce.
denuntio	announce. to announce officially, pronounce, declare.
denuo	anew, again, a second time, afresh.
deorsum	downwards.
depascor	to feed upon.
depereo	to perish, be utterly ruined.
depono	to put down, lay aside. to set down, bring down.
depopulatio	pillaging, looting, sacking, plundering, robbing.
depopulo	to pillage.
depopulor	to pillage.
deporto	to carry , fetch. to carry off, to take away.
deposco	to earnestly request.
deprecatio	prayer.
deprecativus	deprecative.
deprecator	intercessor, one who pleads on behalf.
deprecor	to beg by entreaty, to excuse oneself / curse. to deprecate, intercede?. to entreat for, beg for /intercede /curse.
deprehendo	to understand, overtake.
deprehensio	detection.
deprehensus	aback
deprimere	abase
depromo	to take down, produce, fetch out.
depulso	push aside, thrust away.
deputari	to be classed among, be condemned to.
deputo	to count, estimate/prune, cut off.
derelinquo	to forsake, desert, abandon.
derideo	to laugh at, mock, deride.
derigesco	to become stiff.
derigo	 to set straight, put in order.
deripio	to tear down, snatch away.
deruptus	broken off.
desaevio	to rave furiously.
describo	to describe, register, assign.
deserens	abandoning
desero	to abandon, foresake. to leave, abandon, foresake.
desideratus	welcome.
desiderium	wish, longing /regret, grief /want, need.
desidero	to long for, wish for greatly, to miss.
desidiosus	lazy, unmotivated.
designo	designate, define, describe, mark out. to define, describe, designate. to represent.
desino	leave off, give over, cease, stop, end, desist. to to stop, leave off.
desipio	to act foolishly, play the fool, make an ass of one's self.
desisto	to desist from.
desolo	to desert, foresake, leave. to leave desolate, abandoned, to forsake.
desparatus	given up on / desparate.
despectivus	despicable.
despecto	overlook, dispise, look down upon.
desperata	irremediable.
despero	to be without hope, despair / despair of, give up. to despair. to have no hope, despair, give up.
despiciens	contemptuous.
despicio	to disdain. to look down, regard from above, despise.
desposco	to demand.
destinatus	resolute, firm, determined, with one's mind made up.
destino	to fasten down, make fast, fix /determine settle /appoint.
destituo	to abandon, defraud. to place /leave in the lurch, abandon,.
destitutiones	abandonments
destitutus	destitue of.
destruo	to tear down .
desudo	to exert oneself.
desuesco	to to be unaccustomed.
desumo	to select, elect, choose, take out.
desuper	from above.
detego	to expose.
determino	to fix the limits of, set boundaries to, delimit. to settle, prescribe.
detestabilis	execrable.
detestor	to denounce.
detineo	hold off, hold back, detain. to keep back, detain, hang onto.
detraho	to drag off.
detrimentum	damage, loss, detriment. defeat, damage.
detrudo	to thrust down.
deus	god.
devasto	to lay waste, ravage.
devenio	to come to, arrive at, reach.
devia	lonely, unfrequented places. out-of-the-way roads.
devinco	to subdue.
devio	to turn from the straight road.
devito	to avoid.
devius	inconstan.
devoco	to call away, call down, call aside.
devoro	to devour.
devotio	(Christian) piety, devotion, zeal. piety.
devoveo	to consecrate, sacrifice, devote /curse, execrate.
dexter	right, on the right.
dextera	the right hand.
diabolus	devil, Satan.
diadema	diadem, abbot's mitre .
diapason	whole octave.
diapente	fifth.
diaria	daily allowance of pay, food.
diatesseron	fourth.
dico	(dictum ) to say, tell, speak, name, call, pronounce. to say.
dictata	things dictated, lessons, presents.
dictator	dictator.
dictito	to say often, reiterate.
dicto	to say often, dictate, get written down.
dictum	word, dictate.
didico	to be told (Herimann cap. 39, 44).
diffamo	to proclaim.
differo	to delay, postpone / to differ, be different. to hesitate. to spread about, spread news / harrass, disturb. to spread news / delay, defer, postpone.
differtus	stuffed full, crammed, jammed.
difficilis	difficult, hard, troublesome.
difficultas	difficulty, need, trouble, distress.
diffidens	without self-confidence, distrusting.
diffidentia	disobedience.
diffido	to be distrustful, distrust, despair.
diffinio	to terminate.
diffundo	to spread, pour forth, scatter.
diffusus	outspread.
digero	to relate in order, dispose.
digestor	arranger, composer, one who makes a pattern.
digladio	to run through with swords.
dignanater	courteously.
dignitas	merit, worth, prestige, dignity. rank, dignity.
dignor	to deign.
dignus	(+ abl.) worthy, worthy of, meritorious. worthy. worthy.
digressio	separation, departure, digression.
digressus	separation, departure, digression.
dilabor	to break up, scatter, dissolve, slip away, fall apart. to perish.
dilanio	to tear to pieces.
dilato	to spread out, extend, expand, increase.
dilectio	love, solicitude, esteem.
dilgenter	attentively, earnestly, carefully, diligently.
diligens	diligent, careful.
diligenter	diligently.
diligentia	diligence, industry, perseverance, persistence.
diligo	to choose out, esteem highly, prize, love. to value highly.
diluculo	dawn, daybreak.
diluo	(of troubles) to remove, resolve.
dimico	to contend, struggle.
dimidium	half.
dimitto	to break up, dismiss, leave, abandon, leave behind. to leave, forgive, send away, abandon.
dipsacus	teasel
directus	plain, simple, direct, open, straightforward.
diremptio	separation.
dirigo	to arrange, "send out" a letter or ambassador.
diripio	to plunder, tear to pieces. to separate, tear apart /pillage, devastate, lay waste. to snatch away. to tear in pieces, lay waste, devastate, plunder.
diriter	abominably.
dirumpo	to break to pieces.
dirunitas	long duration.
diruo	to demolish, destroy, ruin. to destroy.
dirus	abominable.
dis	rich, possessing wealth or worth.
discedo	(discessum ) to break up, depart, go away, pass away. to depart from, deviate, leave. to go away.
discerpo	to dismember, disjoint, sever /divide, break up. to mangle.
discessio	f, management, ordering, direction.
discidium	separation, division, disagreement, tearing apart.
disciplina	teaching.
discipulus	disciple, student, learner, pupil.
disco	to learn, become acquainted with.
discordia	disagreement.
discrepo	to differ, to be diifferent, vary, disagree.
discretio	distinction.
discrimen	difference, hazard.
discrimino	to separate .
discurro	to run to and fro.
discutio	to dissipate.
disicio	to lay in ruins.
dispensatio	distribution, stewardship.
disperdo	to destroy.
dispergo	to scatter.
dispertio	to divide.
dispono	to arrange, put in order, draw up (troops). to describe, dispose.
disputatio	debate, dispute, discussion.
disputo	discuss.
disrumpo	to smash.
dissemino	to spread abroad.
dissero	to discuss, speak, declare, utter. to examine, treat of, discuss.
dissimilis	unlike, different, disparate, dissimilar, distinct.
dissimulo	to conceal, disguise, keep secret. to disguise. to ignore, leave unnoticed.
dissipo	to demolish.
dissolutus	lax, weak, wanting in energy, dissolute, profligate.
distinctus	a distinguishing, distinction, difference. separate, apart, different.
distinguo	decorate, adorn, embellish/ punctuate. separate, divide, part/ distinguish, discriminate. to divide.
distraho	(associations) to break up, dissolve. (persons) estrange, distract /(property) sell up, alienate.
distribuo	to apportion. to distribute, divide.
distulo	(past) to delay .
ditata	endowed, endow.
ditio	authority.
dito	to enrich, endow, make wealthy. to enrich, make wealthy.
ditus	rich.
diu	adv. a long while, long time, for a long time. by day, for a long time, a long time ago.
diurnitas	long duration.
diutinus	lasting a long time, enduring, long-lived.
diutius	longer, too long (a period of time).
diuturnus	lasting a long time, of long duration.
divello	to tear apart, away, untie.
diverbero	to cudgel soundly.
diversus	different, unlike, opposed, hostile.
diverticulum	by-way.
diverto	to turn aside.
dives	rich, opulent, wealthy.
divido	to divide, scatter.
divinatio	prediction, divination.
divinitus	by divine communication, by divine influence . divine influence, admirably, nobly, by inspiration.
divinus	divine, sacred.
divortium	division.
divulgamen	fame.
divulgatio	publishing, spreading abroad.
divum	sky.
do	to give, offer, convey, offer, donate, furnish.
docere	preach
docet	preaches
doctiloquus	speaking learnedly.
doctor	teacher.
doctrina	doctrine, teaching, instruction, learning.
doctus	taught, instructed, learned, tutored.
dolens	painfully.
doleo	to suffer pain, to be pained, grieve.
dolor	pain, grief. misery, pain, suffering.
dolosa	deceitful.
dolose	slyly, deceitfuly.
dolositas	deceit.
dolosus	crafty, cunning, sly, deceitful.
dolus	 deceit, trap, ambush. fraud, deceit, guile, treachery, a trap.
domesticus	domestic, civil.
domigena	resident of a household, pl. household retinue.
dominatus	mastery. rule, mastery, tyranny, domination.
dominica	demesne.
dominor	 to be lord and master of, dominate. to be mastered.
dominus	lord, master.
domito	to tame, subdue, break in.
domus	house, home, residence. household, house, abode.
donarium	votive offering.
donativum	donation, offering.
donatus	given.
donec	up to the time when, until, as long as, while.
dono	to give.
donum	gift, present, donation. gift, votive offering.
dormio	to sleep, slumber, siesta, nap.
dormito	to be dreaming.
doxa	glory.
dubito	to doubt, hesitate.
dubium	doubt, hesitation, reservation.
ducamen	duchy, ducal dignity.
ducere	lead
duco	to calculate, count, reckon, esteem, considered. to charm, influence, mislead, draw in. to draw, shape, construct/ (time) spend, delay. to lead on the march, marry a wife, command. to lead, draw, esteem, consider.
ductor	general, leader, commander, guide.
dudum	for a long while, a long while ago, some time ago.
dulce	sweet
dulcedo	sweetness, pleasantness, charm.
dulcidine	sweetly, pleasantly, charmingly.
dulcis	sweet, pleasant, agreeable.
dum	while, as long as, until.
dummodo	(conj. + subj.) provided.
dumtaxat	at least, not less than / at most, not more than.
duo	two.
duplicitas	multiplication by two, ambiguity, duplicity.
duro	to harden, last, endure.
durus	hard, harsh, tough, strong,enduring, / rough, rude, uncouth.
dux	duke.
eatenus	so far, thus far, up to then.
ebrius	drunken
ebullio	to boil up, bubble up, to appear, produce in abundance.
ecce	Lo! Behold! See!.
ecclesia	church.
econtra	the same as contra (against, opposite, etc.)
ecquando	at any time? ever?.
edico	to announce, declare.
edictum	ordinance.
editio	statement. the publishing of a book, an announcement.
edo	put forth, give out.
edoceo	to inform fully, instruct thoroughly. to instruct thoroughly.
edoctus	well versed, informed.
educator	tutor.
educo	to draw out, lead out, march out/bring up, rear/ issue. to foster, draw out.
edulis	edible.
eduro	to last endure, persist.
edurus	hard.
effectus	doing, execution, performance, effect, result. rendered.
effeminatus	womanish.
effercio	to cram, stuff, fill.
effero	to bring forth.
effertus	stuffed, jammed, crammed.
efferus	fierce. savage, wild, untamed, undomesticated.
effervo	to boil up, swarm out (like bees).
efficaciter	effectively, efficiently.
efficax	effective, efficient. efficacious.
efficens	efficient, effective.
efficenter	efficiently, effectively, powerfully.
efficio	to bring to pass. to do, produce, effect, make/ bring about, cause /prove.
effingo	to form, fashion, make /duplicate, copy.
efflagito	to plead urgently.
efflo	to breathe out, blow out.
effloresco	to blossom, bloom, break out.
effluo	to vanish /be forgotten /pour out, leak, seep /become known.
effluvium	an outlet /seepage.
effodio	to dig out, excavate /to gut.
effor	to speak out. to speak, express /state /declare.
effreno	to let go without reins.
effrenus	wild, unrestrained, unchecked, unbridled.
effundo	to pour out, pour forth, shed, utter. to pour out.
effusio	a pouring form, effusion. exhilaration, upwelling of emotion.
effutio	to gab, chatter.
egelidus	thawed, lukewarm, tepid.
egens	to needy.
egenus	in want of, in need of, destitute.
egeo	to need, lack, want, be without.
egestas	to extreme poverty.
ego	I, self.
egredior	to come out.
egregius	illustrious, eminent, distinguished.
egressio	withdrawal, depart, withdraw.
eia	ho!
ejulo	to wail.
elabor	to slip away, escape.
elatio	high wave, self-exaltation.
elatus	puff-up, proud of oneself, arrogant. puffed up.
ele	you
electrum	amber.
electus	chosen, select.
elegans	elegant, fine.
elementum	first principle, element, basic constituent.
elemosina	alms.
elemosinarius	almoner, person in charge of providing charity.
elido	to dash to pieces.
eligo	to elect. to pick out, select, choose.
eloquens	eloquent, persuasive, fluent.
eloquentia	eloquence, readiness of speech, fluency, persuasiveness.
eloquor	to speak out, express oneself, declare, speak eloquently.
elucido	to light.
elucubro	to compose with great labor.
eluo	to wash out, rinse cleanse /squander, waste.
eluvies	a flowing over, flood, innundation.
eluvio	inundation.
emanio	to flow out, spread /arise, emanate, originate.
emendator	corrector, editor.
emendo	to amend, correct. to free from faults, emend, edit.
emercor	to buy up.
emereor	to deserve.
emerio	to obtain by service, earn completely, deserve well.
emico	to shine.
emineo	to be prominent, conspicuous . to stand out, project, be remarkable, conspicuous.
eminor	to threaten, menace.
eminus	at a distance, from a distance.
emiolios	one and a half.
emiror	to wonder at exceedingly.
emitto	to send out.
emoveo	to move away, remove, take away.
emptio	a buying, a purchase.
emundo	to cleanse.
en	behold!.
enim	for, in fact, truly (may often be omitted). in fact, truly, indeed.
enimvero	indeed.
eniteo	to gleam.
enitor	to labour to bring forth, bear children.
ensis	sword.
enucleate	plainly.
enucleo	to make clear.
enumero	to count, count up, enumerate.
enutrio	to bring up.
eo	to advance, march on, go, leave.
ephebus	youth.
ephippium	saddle
episcopalis	episcopal.
episcopus	bishop.
epistola	letter, epistle, missive, message.
epistula	letter, epistle, missive, message.
epitaphium	funeral oration.
epithalamium	wedding song.
epitoma	abridgement, summary.
epitome	abridgement, summary.
epos	epic poem.
epotus	drunk up, drained / swallowed up.
eptheca	an addition.
epulae	a banquet, feast / food / dishes, courses of a meal.
epulo	sumptuous food, banquet, feast.
epulor	to dine. to feast, banquet, dine. to feast, feast on.
epulum	a banquet, feast.
equa	a mare.
eques	horseman.
equester	(-stris, stre) equestrian, relating to cavalry.
equidem	(adv) indeed, truly, for my part.
equinus	equine, relating to horses.
equipero	 to be the equal of.
equitatus	cavalry, horsemen (classical).
equito	(-are) to ride on horseback. to ride, ride through.
equus	horse, steed, mount.
era	mistress, lady.
eradico	to root out, destroy, obliterate, get rid of.
erectus	proud / alert / anxious /cheerful. upright, standing / resolute.
erepo	to creep out, creep over, creep up.
ereptio	seizure, taking by force, confiscation. seizure.
ereptor	thief, robber.
erga	(+ acc.) toward, about.
ergastulum	a workhouse for slaves.
ergo	(adv.) accordingly, then, therefore. (gen. +) on account of, because of.
ericius	(mil.) hedgehog, chevaux de frise.
erigo	to arouse, raise up. to erect, raise, set up / arouse, encourage, incite.
erilis	relating to a master or mistress.
eripio	to snatch.
erogatio	payment, expenditure.
erogo	to ask for / to pay out, expend, disburse. to disburse.
errabundus	wandering.
errans	erring
errare	err
erratio	a wandering, straying.
erratum	fault, error, mistake.
erratus	wandering, straying.
erro	to go astray, wander, err. to wander, stray, rove / be mistaken, err, go astray.
error	aberration uncertainty / deception. wandering, error, mistake, deception.
erubesco	(+ inf.) to blush to, (+acc.) blush for, respect.
erubescundus	something to be ashamed of, worth blushing over.
eruca	a colewort (plant).
eructo	(-are) to vomit, throw up /to cast out, throw out. eject / belch.
erudio	to polish, instruct. to polish, smooth / instruct, teach, educate.
eruditio	instruction, teaching / knowledge, learning.
erumpo	to break open, vent, discharge, erupt. to break out, burst forth / (milit.) attack.
eruo	to dig up, pull out / raze, demolish. to pluck, rescue.
eruptio	an eruption, bursting forth / sally, attack, assault.
erus	master, owner, lord.
ervum	a bitter weed, vetch.
esca	food / bait. food.
escensio	a movement inland / milit. marching inland.
esculentus	succulent, delicious, ripe.
esito	(-are) to continue eating.
esse	be nature of being.
essedarius	one who fight from a chariot.
esurio	to be hungry, to hunger / long for, desire, yearn.
esuritio	hunger.
et	and
etenim	for indeed.
ethologus	a mimic.
etiam	(+ comparative) still  (answering a question) yes, certainly. (asking a question) actually? really? in truth?. and furthermore. as yet, still / even, also, besides.
etiamsi	even if, although.
etsi	(acsi) even if, although, nothwithstanding.
eunuchus	eunuch.
evacuo	empty.
evado	to escape. to go out, set out / get off / escape / result.
evagor	to wander out, stray off.
evalesco	to grow strong / become fashionable / prevail / be able.
evaneo	to vanish.
evanesco	(evanui) to vanish, disappear / pass away.
evangelium	the gospel.
evanidus	vanishing, disappearing / passing away.
evasto	(-are) to lay waste, devastate.
eveho	(-vexi, vectum) to carry out (+ relexive) sail away, ride away.
evello	(-ere, velli, vulsum) to happen, occur, come about, befall. to tear out, pluck out / turn out, result.
evenio	to come to pass, happen, befall.
eventus	outcome, success, fate, event, occurrence.
everbero	to strike violently, to hit hard.
everriculum	a fishing net, seine / a clean sweep.
everro	(-verri, -versus) to sweep out, plunder, pillage.
eversio	an overturning, destruction, ruin.
eversor	a destroyer.
everto	to destroy, ruin, demolish, raise, overthrow. to turn out, throw out, eject / dislodge, overturn.
evestigatus	found out, discovered. tracked down.
evidens	clear, distinct, plain, visible, evident.
evidenter	clearly, distinctly, plainly.
evigilo	to awaken /be alert, be watchful / work hard at.
evinco	to conquer, subjugate, enthrall, defeat.
eviscero	to disembowel.
evito	to shuun, avoid; also, to kill.
evoco	to draw out, draw on, produce, recall to the colors.
evolo	to flee, escape, fly away, rush out.
evolutio	unrolling and reading of a scroll, reading of a book.
evolvo	to untangle, extricate, detach, disclose, explain.
evomo	to vomit forth.
evulgo	to publish.
ex	(= e ) (prep. + abl.) out of, from within, from / on account of.
exacuo	to sharpen.
exaestuo	to give forth, foam.
exaggeratio	accumulation.
exaggeratus	accumulated, abundantly supplied.
exaggero	to enlarge, accumulate.
exagito	to stir up.
exalto	to raise high.
examinare	weigh
examinat	weighs
exanimus	lifeless.
exardesco	to to be inflamed.
exaresco	to become dry, arid.
exarmo	to disarm.
exaro	to plow up, dig up /write on a wax tablet. to write down, till.
exaspero	to irritate.
exaudio	to hearken to, grant. to listen to, hear plainly, hear favorably.
excedo	(trans.) to exceed, leave, pass beyond.
excellens	superior.
excellentia	excellence, merit, worth.
excello	to elevate, surpass.
excelsa	elevations.
excessum	departure, death, digression.
excipio	(excepi exceptum ) to take out, except /take, capture.
excipo	to receive, intercept.
excito	call forth, bring about, wake, raise up. to awaken, occasion, stir.
exclamo	to shout, cry aloud, exclaim, call someone by name.
excludo	to shut out, exclude.
excolo	to honor (a deity), polish, adorn, refine, serve. to tend, cultivate.
excorio	to shave /scalp, flay /oppress /peel. to skin.
excrucio	to torment, torture, cause great pain.
excusatio	excuse.
excuso	to exempt from blame, excuse, make excuses, plead.
executio	to seize, recover.
executor	adminstrator, executive officer.
exemplar	model, pattern, original, prototype, book to copy.
exemplum	pattern, model, example .
exempoator	m, model, example.
exeo	to withdraw, go forth.
exerceo	to administer. to train, cultivate, keep at work, exercise, practice.
exercitatio	adminstration,  prosecute. work at, busy oneself in.
exercito	to practise diligently.
exercitus	army.
exertus	tested, tried, approved, experienced.
exesto	extra esto.
exhaurio	to exhaust, make out.
exhaustus	drained.
exheredo	to disinherit.
exheres	disinherited.
exhibeo	to sustain, deliver.
exhibitio	producing.
exhilaro	to delight. to make cheerful.
exhorresco	to be horrified, to shake, shudder /dread, tremble at.
exhorto	to encourage.
exigo	complete, finish, determine, decide, settle. drive out, force out, exact, demand, sell. to exact.
exilis	thin, slender, meager.
eximietate	uncommonness, excellence.
eximius	extraordinary, excellent, fine, superb. uncommon, extraordinary, exceptional.
eximo	to free, release, take out, remove, waste.
exinde	thence, furthermore. thence, next/ thereupon, after that, then/accordingly.
existo	to become.
exitialiter	perniciously.
exitium	destruction, ruin. ruin.
exitus	going out, going forth, exit, end, finish. withdrawing, outlet.
exorbatus	stripped.
exordia	preambles
exordior	to begin.
exordium	commencement. preamble the beginning (especially of a speech).
exorior	to appear, come forth. to rise, spring up, issue, appear, come forward.
exorno	to equip, adorn. to furnish, provide, supply.
exoro	prevail upon, beg. to prevail upon a person, entreat successfully.
exorsus	begun.
exortus	appearance.
exosus	hated exceedingly. loathing, fiercely hating, despising.
expalpo	to lure out, coax out.
expando	to spread out.
expedio	to free from a snare, disentangle /ready, settled, arranged. to release, set free, clear /explain, clarify, set straight.
expedite	freely, easily. promptly.
expeditio	enterprise.
expeditione	military operation, military force, expedition.
expeditus	unimpeded, unchecked /(mil.) light-armed.
expello	to eject.
expendo	to consider.
expergefacio	to awaken.
expergescor	to bestir.
experior	to test, put to the test, ascertain.
expers	destitute of. wanting, destitute of, not sharing in.
expertus	experienced, ascertained, knowing, proven .
expetens	desirous, eager.
expeto	to demand, require / desire, strive after, make for. to fall upon. to seek after, make for.
expilatio	plundering, taking booty.
expio	to purify.
expiscor	to fish out, find out, discover.
explano	to make clear.
expleo	to fulfill, finish. to make losses good/ fulfil, discharge (duties).
expletio	satifying. to bring to completion, finish, end.
expletus	(part.) perfect, complete.
explicatus	explanation, exposition.
explico	to uncoil, undo. to unfold, unroll, disentangle / explain, expound.
explorator	scout.
expono	to expound, display.
exporrigo	to spread out.
exposco	to entreat.
expositus	open, accessible, exposed.
expostulo	to demand earnestly / to make a claim.
exprimo	to represent.
expugno	to capture, overcome, subdue, take by storm, gain. to take by assault.
expurgo	to purge.
exquisitus	sought after, exquisite,excellent, fine, delicate.
exsecrabile	detestable.
exsecror	to detest, curse.
exsequiae	relics.
exsequor	to describe, carry out. to execute, avenge, punish /relate, describe, explain. to maintain, keep up, carry out, fulfill, accomplish.
exsilio	to spring forth, bound forth.
exsilium	exile, banishment.
exsisto	to emerge, appear, exist, be. to emerge, be/ happen, take place.
exsors	deprived of.
exspectata	welcome.
exspecto	to await. to look for, expect, await, wait for.
exstasis	amazement.
exsto	to stand out, be extant, appear, project, show itself.
exsul	exile.
exsulo	to live in exile.
exsulto	to revel, rejoice exceedingly, exult.
exsupero	to excell.
extemplo	to at once.
extendo	to stretch out.
exterminata	banished.
extermino	exussum, burn down, burn, set on fire.
externus	outer, foreign, outside, external.
exterritus	terrified.
extimus	outermost.
extollo	to exalt. to lift up, raise up, erect /elevate, exalt. to praise exaggerate /decorate, adorn.
extorqueo	to twist, wrench, dislocate /extort by force.
extra	(prep. + acc.) beyond, outside.
extraho	prolong, protract/ bring forward. to draw forth.
extraneus	a foreigner, stranger. outside, exraneous/ foreign, strange.
extrarius	outward, external/ strange, unrelated, foreign.
extremitas	end, farthest part. end.
extremus	outermost, last, extreme.
extrico	disentangle, free, extricate, clear up, unravel.
extrinsecus	outwardly, externally, from the outside.
extrudo	to drive out.
extundo	drive away, repel violently, extort. to form by beating with a hammer, invent, devise.
exturbo	to drive away, thrust out.
exuberans	superfluous.
exubero	to abound in. to grow thickly, abound.
exulcero	to aggravate, exacerbate, irritate, make worse, embitter.
exulto	to exult, be joyful.
exululo	to howl loudly.
exundo	to overflow, abound,.
exuo	to divest, strip off. to lay aside, put away, store/strip, deprive.
exustio	burning up, conflagration.
exuviae	(anything taken off) dress, clothing. spoils, booty/ hides pelt.
faba	broad bean,.
faber	craftsman, artisan. skilled, ingenious.
fabre	skillfully, ingeniously.
fabrica	manufacture /craft, trade, art /trick, device.
fabrico	to construct.
fabrilis	workmanlike.
fabula	fable, story, tale, play. fable.
facesso	to work zealously, do, accomplish.
facies	aspect, appearance, look, condition. face, visage, countenance.
facile	easily, without difficulty. easily. readily
facilis	easy, agreeable, affable, pleasant.
facillimus	easiest, most agreeable, pleasantest.
facinarose	viciously, scandalously.
facinus	villainy.
facio	(trans.) to make, do, act, perform, cause, bring about. to give permission/ to experience, suffer (troubles). to sacrifice, suit, help, be of service.
facis	a bundle, packet.
facticius	artificial, man-made.
factum	action. deed, accomplishment, work, act, achievement.
facultas	ability ability, store, wealth. feasibility, opportunity, resources.\, abundance. power, means, opportunity, capacity, ability, stock.
facunda	eloquent.
facunde	eloquently, fluently.
facundia	fertile, productive, profitable.
facunditas	fertility, qickness or readiness of speech.
facundus	eloquent, fluent, ready of speech.
faeneror	to hunt, loan, join.
faex	impurities.
fallo	to deceive, dupe.
falsidicus	lying.
falsus	false, deceptive.
falx	scythe.
fama	report, common talk, fame. talk, report, rumor, gossip, tradition.
famen	word, utterance, articulation.
fames	famine, hunger.
familia	family, household.
familiaris	belonging to a household / friendly, intimate.
familiaritas	confidential friendship, intimacy.
famosus	much spoken of, renowned /notorious, infamous /libellous.
famulatus	obeisance, attention, obedience, allegiance, vassalage,. servitude, slavery, service /an extablishment of slaves.
famulo	to attend.
famulor	to be a servant, to serve, attend, obey.
